B_fighter,Referee,date,location,Winner,title_bout,weight_class,B_avg_KD,B_avg_opp_KD,B_avg_SIG_STR_pct,B_avg_opp_SIG_STR_pct,B_avg_TD_pct,B_avg_opp_TD_pct,B_avg_SUB_ATT,B_avg_opp_SUB_ATT,B_avg_REV,B_avg_opp_REV,B_avg_SIG_STR_att,B_avg_SIG_STR_landed,B_avg_opp_SIG_STR_att,B_avg_opp_SIG_STR_landed,B_avg_TOTAL_STR_att,B_avg_TOTAL_STR_landed,B_avg_opp_TOTAL_STR_att,B_avg_opp_TOTAL_STR_landed,B_avg_TD_att,B_avg_TD_landed,B_avg_opp_TD_att,B_avg_opp_TD_landed,B_avg_HEAD_att,B_avg_HEAD_landed,B_avg_opp_HEAD_att,B_avg_opp_HEAD_landed,B_avg_BODY_att,B_avg_BODY_landed,B_avg_opp_BODY_att,B_avg_opp_BODY_landed,B_avg_LEG_att,B_avg_LEG_landed,B_avg_opp_LEG_att,B_avg_opp_LEG_landed,B_avg_DISTANCE_att,B_avg_DISTANCE_landed,B_avg_opp_DISTANCE_att,B_avg_opp_DISTANCE_landed,B_avg_CLINCH_att,B_avg_CLINCH_landed,B_avg_opp_CLINCH_att,B_avg_opp_CLINCH_landed,B_avg_GROUND_att,B_avg_GROUND_landed,B_avg_opp_GROUND_att,B_avg_opp_GROUND_landed,B_avg_CTRL_time(seconds),B_avg_opp_CTRL_time(seconds),B_total_time_fought(seconds),B_total_rounds_fought,B_total_title_bouts,B_current_win_streak,B_current_lose_streak,B_longest_win_streak,B_wins,B_losses,B_draw,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,B_age,B_index_ape,B_index_ape2
Gustavo Lopez,Chris Tognoni,2021-03-20,"Las Vegas, Nevada, USA",Red,False,Bantamweight,0.0,0.0,0.42,0.495,0.33,0.36,0.5,1.0,0.0,0.0,50.0,20.0,84.0,45.0,76.5,41.0,114.0,64.0,1.5,1.0,9.0,6.5,39.5,11.0,63.0,27.5,7.5,7.0,12.0,9.0,3.0,2.0,9.0,8.5,35.0,12.5,43.5,17.5,10.5,4.5,4.0,3.0,4.5,3.0,36.5,24.5,34.0,277.5,531.5,4,0,0,1,1,1,1,0,0,0,0,0,1,0,Orthodox,165.1,170.18,135.0,31.0,1.03,5.08
Roman Dolidze,Herb Dean,2021-03-20,"Las Vegas, Nevada, USA",Red,False,Middleweight,0.5,0.0,0.66,0.305,0.3,0.5,1.5,0.0,0.0,0.0,65.5,35.0,50.0,16.5,113.5,68.5,68.5,29.0,2.5,1.5,0.5,0.5,46.0,20.0,36.0,7.5,12.0,8.0,8.0,3.0,7.5,7.0,6.0,6.0,58.0,30.0,48.0,15.5,0.5,0.5,0.5,0.5,7.0,4.5,1.5,0.5,219.5,24.5,577.5,4,0,2,0,2,2,0,0,0,1,0,1,0,0,Orthodox,187.96,193.04,205.0,32.0,1.03,5.08
Harry Hunsucker,Herb Dean,2021-03-20,"Las Vegas, Nevada, USA",Red,False,Heavyweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,187.96,190.5,241.0,32.0,1.01,2.54
Montserrat Conejo,Mark Smith,2021-03-20,"Las Vegas, Nevada, USA",Blue,False,WomenStrawweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Southpaw,152.4,154.94,115.0,28.0,1.02,2.54
Macy Chiasson,Mark Smith,2021-03-20,"Las Vegas, Nevada, USA",Blue,False,WomenBantamweight,0.125,0.0,0.535625,0.57875,0.185,0.16625,0.125,0.1875,0.25,0.0,109.1875,57.9375,50.625,28.4375,170.4375,105.625,74.375,44.25,5.375,1.5,2.0,0.625,77.375,31.375,41.5625,22.625,31.1875,26.1875,7.6875,4.9375,0.625,0.375,1.375,0.875,33.5625,11.0,32.0625,13.9375,39.0625,28.8125,13.3125,10.75,36.5625,18.125,5.25,3.75,390.25,156.3125,764.0,11,1,3,0,3,4,1,0,0,0,1,2,1,0,Orthodox,180.34,182.88,135.0,29.0,1.01,2.54
Grant Dawson,Chris Tognoni,2021-03-20,"Las Vegas, Nevada, USA",Blue,False,Lightweight,0.0,0.0,0.515,0.47375,0.435,0.25,1.25,0.625,0.0,0.25,86.0,40.75,55.5,25.125,150.625,93.5,79.0,46.75,6.375,2.625,0.25,0.25,60.625,23.125,42.375,14.625,10.0,4.5,10.625,8.25,15.375,13.125,2.5,2.25,68.875,29.625,50.125,20.25,3.125,2.0,3.0,2.75,14.0,9.125,2.375,2.125,431.75,17.375,717.875,10,0,4,0,4,4,0,0,0,0,2,0,2,0,Switch,177.8,182.88,145.0,27.0,1.03,5.08
Max Griffin,Keith Peterson,2021-03-20,"Las Vegas, Nevada, USA",Blue,False,Welterweight,0.046875,0.125,0.459277344,0.4046875,0.3221875,0.068867188,0.189453125,0.0,0.283203125,0.0,130.8183594,60.11328125,129.3378906,50.54882813,151.5546875,78.32421875,137.4277344,58.5078125,2.73046875,1.453125,1.552734375,0.28515625,102.328125,38.81445313,111.2675781,37.83007813,20.95117188,14.41992188,12.15625,7.1796875,7.5390625,6.87890625,5.9140625,5.5390625,125.1308594,55.88867188,122.1933594,45.86914063,5.03125,3.763671875,6.263671875,3.966796875,0.65625,0.4609375,0.880859375,0.712890625,148.5078125,80.09765625,809.53125,28,0,0,1,1,4,6,0,1,0,1,2,0,0,Orthodox,180.34,193.04,170.0,35.0,1.07,12.7
Kevin Holland,Herb Dean,2021-03-20,"Las Vegas, Nevada, USA",Red,False,Middleweight,0.15625,0.0,0.791582031,0.850585938,0.269199219,0.393398438,0.029296875,0.080078125,0.0234375,0.041015625,39.2109375,26.078125,24.49414063,11.953125,61.64453125,47.79101563,31.27929688,17.46484375,0.935546875,0.529296875,2.759765625,1.451171875,31.01953125,19.921875,15.76367188,5.615234375,4.162109375,2.685546875,4.70703125,2.8203125,4.029296875,3.470703125,4.0234375,3.517578125,25.35546875,14.09375,17.171875,7.177734375,3.630859375,2.984375,1.857421875,1.353515625,10.22460938,9.0,5.46484375,3.421875,69.5,82.31640625,267.5175781,23,0,0,1,5,8,2,0,0,2,1,3,2,0,Orthodox,190.5,205.74,185.0,28.0,1.08,15.24
Jesse Strader,Keith Peterson,2021-03-20,"Las Vegas, Nevada, USA",Red,False,Bantamweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,170.18,177.8,135.0,29.0,1.04,7.62
JP Buys,Mark Smith,2021-03-20,"Las Vegas, Nevada, USA",Red,False,Flyweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,165.1,170.18,125.0,24.0,1.03,5.08
Matheus Nicolau,,2021-03-13,"Las Vegas, Nevada, USA",Blue,False,Flyweight,1.0,0.625,0.47375,0.24125,0.28125,0.0,0.875,0.0,0.0,0.0,71.25,36.125,85.25,23.5,84.25,47.0,89.5,27.5,1.625,1.125,0.5,0.0,45.625,18.25,67.5,12.375,20.375,13.0,12.0,6.875,5.25,4.875,5.75,4.25,63.125,30.75,79.625,20.75,0.125,0.125,0.25,0.125,8.0,5.25,5.375,2.625,119.75,2.25,552.875,10,0,3,0,3,3,1,0,0,1,1,0,1,0,Orthodox,167.64,167.64,125.0,28.0,1.0,0.0
Ryan Spann,Mark Smith,2021-03-13,"Las Vegas, Nevada, USA",Blue,False,LightHeavyweight,1.0625,0.0,0.473125,0.663125,0.60125,0.105,0.5,0.0625,0.0625,0.5,49.3125,22.0625,51.8125,31.625,51.3125,24.0625,67.625,46.875,3.0,1.5625,1.0625,0.5,44.875,18.5625,44.0625,24.75,4.3125,3.4375,3.125,2.5,0.125,0.0625,4.625,4.375,41.3125,16.5625,33.3125,16.125,3.375,2.1875,4.6875,3.625,4.625,3.3125,13.8125,11.875,128.75,50.9375,423.3125,10,0,4,0,4,4,1,0,0,1,1,1,1,0,Orthodox,195.58,200.66,205.0,29.0,1.03,5.08
Belal Muhammad,Herb Dean,2021-03-13,"Las Vegas, Nevada, USA",Draw,False,Welterweight,0.0,0.064941406,0.465732422,0.374169922,0.176464844,0.063125,0.140625,0.00390625,0.0,0.005859375,205.9765625,98.19970703,172.0097656,64.88037109,229.9946289,112.0332031,175.2397461,66.98388672,8.8828125,1.451660156,0.828125,0.12890625,177.7670898,79.14746094,135.918457,33.09570313,23.76904297,15.45458984,18.43359375,15.51318359,4.440429688,3.59765625,17.65771484,16.27148438,191.5717773,88.39453125,166.706543,59.97167969,11.99707031,8.303222656,4.961914063,4.734863281,2.407714844,1.501953125,0.341308594,0.173828125,162.1787109,8.647949219,876.0532227,34,0,0,1,4,9,3,0,0,1,6,1,1,0,Orthodox,180.34,182.88,170.0,32.0,1.01,2.54
Marcelo Rojo,Mark Smith,2021-03-13,"Las Vegas, Nevada, USA",Red,False,Featherweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,172.72,180.34,145.0,32.0,1.04,7.62
Darren Stewart,Herb Dean,2021-03-13,"Las Vegas, Nevada, USA",Draw,False,Middleweight,0.0234375,0.0,0.451445313,0.503193359,0.323574219,0.314394531,0.25,0.015625,0.0,0.125,88.22167969,42.63085938,87.20800781,47.14648438,116.8271484,66.49609375,141.8300781,98.21484375,4.500976563,1.673828125,4.697265625,1.258789063,66.40429688,24.19628906,67.65625,33.79882813,5.76171875,4.48828125,10.45117188,6.638671875,16.05566406,13.94628906,9.100585938,6.708984375,61.21875,25.53125,73.59765625,37.19042969,8.192382813,6.209960938,11.15234375,8.015625,18.81054688,10.88964844,2.458007813,1.940429688,142.8525391,207.1044922,715.3398438,24,0,0,4,3,5,6,0,0,1,1,2,1,0,Orthodox,182.88,187.96,185.0,30.0,1.03,5.08
