R_fighter,Referee,fight date,location,Winner,title_bout,weight_class,R_avg_KD,R_avg_opp_KD,R_avg_SIG_STR_pct,R_avg_opp_SIG_STR_pct,R_avg_TD_pct,R_avg_opp_TD_pct,R_avg_SUB_ATT,R_avg_opp_SUB_ATT,R_avg_REV,R_avg_opp_REV,R_avg_SIG_STR_att,R_avg_SIG_STR_landed,R_avg_opp_SIG_STR_att,R_avg_opp_SIG_STR_landed,R_avg_TOTAL_STR_att,R_avg_TOTAL_STR_landed,R_avg_opp_TOTAL_STR_att,R_avg_opp_TOTAL_STR_landed,R_avg_TD_att,R_avg_TD_landed,R_avg_opp_TD_att,R_avg_opp_TD_landed,R_avg_HEAD_att,R_avg_HEAD_landed,R_avg_opp_HEAD_att,R_avg_opp_HEAD_landed,R_avg_BODY_att,R_avg_BODY_landed,R_avg_opp_BODY_att,R_avg_opp_BODY_landed,R_avg_LEG_att,R_avg_LEG_landed,R_avg_opp_LEG_att,R_avg_opp_LEG_landed,R_avg_DISTANCE_att,R_avg_DISTANCE_landed,R_avg_opp_DISTANCE_att,R_avg_opp_DISTANCE_landed,R_avg_CLINCH_att,R_avg_CLINCH_landed,R_avg_opp_CLINCH_att,R_avg_opp_CLINCH_landed,R_avg_GROUND_att,R_avg_GROUND_landed,R_avg_opp_GROUND_att,R_avg_opp_GROUND_landed,R_avg_CTRL_time(seconds),R_avg_opp_CTRL_time(seconds),R_total_time_fought(seconds),R_total_rounds_fought,R_total_title_bouts,R_current_win_streak,R_current_lose_streak,R_longest_win_streak,R_wins,R_losses,R_draw,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,R_age,R_index_ape,R_index_ape2,r time active,total_fights,win_pct
Adrian Yanez,Chris Tognoni,2021-03-20,"Las Vegas, Nevada, USA",Red,False,Bantamweight,1.0,0.0,0.5,0.46,0.0,0.0,0.0,0.0,0.0,0.0,34.0,17.0,13.0,6.0,35.0,18.0,16.0,9.0,0.0,0.0,3.0,0.0,32.0,15.0,11.0,5.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,33.0,16.0,12.0,6.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,54.0,166.0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,Orthodox,170.18,177.8,135.0,27.0,1.04,7.62,0 days,1,100.0
Trevin Giles,Herb Dean,2021-03-20,"Las Vegas, Nevada, USA",Red,False,Middleweight,1.03125,0.0625,0.576875,0.38125,0.40625,0.11625,0.25,1.1875,0.375,0.25,77.5625,43.15625,69.15625,27.59375,93.125,57.21875,98.34375,52.46875,1.28125,0.78125,4.6875,0.4375,71.09375,38.0625,50.40625,13.34375,4.6875,3.3125,9.09375,6.15625,1.78125,1.78125,9.65625,8.09375,58.3125,30.4375,63.3125,23.125,6.96875,3.65625,5.0,4.125,12.28125,9.0625,0.84375,0.34375,176.15625,154.6875,747.34375,17,0,2,0,2,4,2,0,0,1,0,3,0,0,Orthodox,182.88,187.96,185.0,28.0,1.03,5.08,0 days,6,66.66666666666666
Tai Tuivasa,Herb Dean,2021-03-20,"Las Vegas, Nevada, USA",Red,False,Heavyweight,0.546875,0.1875,0.53890625,0.59859375,0.0,0.3125,0.0,0.25,0.0,0.0,59.234375,30.375,43.8125,24.796875,70.5,41.390625,50.234375,30.90625,0.03125,0.0,2.84375,1.75,42.5,16.78125,34.296875,17.9375,5.78125,4.546875,6.125,3.71875,10.953125,9.046875,3.390625,3.140625,45.875,20.28125,36.34375,18.6875,11.328125,8.5625,1.4375,1.171875,2.03125,1.53125,6.03125,4.9375,82.453125,89.78125,448.203125,13,0,3,0,3,4,3,0,0,0,1,3,0,0,Southpaw,187.96,190.5,264.0,28.0,1.01,2.54,1715 days,7,57.14285714285714
Cheyanne Buys,Mark Smith,2021-03-20,"Las Vegas, Nevada, USA",Blue,False,WomenStrawweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Switch,160.02,160.02,115.0,25.0,1.0,0.0,0 days,0,
Marion Reneau,Mark Smith,2021-03-20,"Las Vegas, Nevada, USA",Blue,False,WomenBantamweight,0.0,0.000976563,0.403076172,0.554960938,0.51171875,0.62875,0.231445313,0.03125,0.03125,0.5,109.3310547,44.36230469,148.8466797,84.5546875,137.1542969,70.19824219,172.4990234,106.6806641,2.26171875,1.26171875,3.137695313,1.771484375,86.375,26.03027344,94.22558594,38.69335938,17.27246094,13.46972656,37.71777344,31.65820313,5.68359375,4.862304688,16.90332031,14.203125,85.84570313,27.90722656,106.9130859,48.47949219,18.99609375,13.97070313,35.3125,32.05957031,4.489257813,2.484375,6.62109375,4.015625,141.2851563,310.1523438,874.3808594,30,0,2,0,2,5,6,0,0,0,1,2,2,0,Orthodox,167.64,172.72,135.0,43.0,1.03,5.08,1283 days,11,45.45454545454545
Leonardo Santos,Chris Tognoni,2021-03-20,"Las Vegas, Nevada, USA",Blue,False,Lightweight,0.3125,0.015625,0.56515625,0.34359375,0.33703125,0.04890625,0.0390625,0.0,0.0,0.5,78.9296875,42.1875,78.6171875,32.046875,110.9140625,68.0625,99.2890625,48.8984375,1.40625,0.6328125,5.6875,0.515625,65.1953125,32.28125,54.765625,14.3203125,9.609375,5.9453125,16.7265625,11.3046875,4.125,3.9609375,7.125,6.421875,62.28125,28.8828125,67.5390625,25.15625,6.234375,5.171875,3.875,3.2734375,10.4140625,8.1328125,7.203125,3.6171875,59.03125,193.546875,649.3046875,18,1,1,0,6,7,1,0,0,1,2,2,2,0,Orthodox,182.88,190.5,155.0,41.0,1.04,7.62,1266 days,8,87.5
Song Kenan,Keith Peterson,2021-03-20,"Las Vegas, Nevada, USA",Blue,False,Welterweight,0.625,0.0,0.493125,0.43,0.0,0.6875,0.0,0.25,0.25,0.25,73.8125,33.5,61.0625,26.5,77.5625,36.5625,67.4375,32.125,0.0,0.0,2.375,1.375,56.5625,23.375,51.5625,19.0625,11.375,5.875,5.5625,4.1875,5.875,4.25,3.9375,3.25,66.75,28.9375,55.75,23.6875,5.375,3.0,4.5,2.25,1.6875,1.5625,0.8125,0.5625,13.5,92.4375,445.0,10,0,2,0,2,4,1,0,0,0,1,3,0,0,Orthodox,182.88,180.34,170.0,31.0,0.99,-2.54,1148 days,5,80.0
Derek Brunson,Herb Dean,2021-03-20,"Las Vegas, Nevada, USA",Red,False,Middleweight,0.024551392,0.220703125,0.515636139,0.445974121,0.35582428,0.0,9.16e-05,0.0,0.0,0.0,133.4735107,72.17990112,95.71842957,41.51147461,150.5239868,88.71699524,102.1464386,47.68928528,8.111679077,3.008209229,2.156860352,0.0,98.62075806,46.65184021,66.27102661,20.73251343,22.16374207,15.4604187,21.70651245,16.69836426,12.68901062,10.06764221,7.740890503,4.080596924,102.852951,50.01177979,84.98669434,32.96481323,11.84820557,7.164001465,10.28755188,8.202209473,18.77235413,15.00411987,0.44418335,0.344451904,157.8121185,3.515289307,683.1185608,31,0,2,0,5,12,5,0,0,0,4,7,1,0,Southpaw,185.42,195.58,185.0,37.0,1.05,10.16,0 days,17,70.58823529411765
Montel Jackson,Keith Peterson,2021-03-20,"Las Vegas, Nevada, USA",Red,False,Bantamweight,0.75,0.0,0.615,0.474375,0.66875,0.386875,0.0625,1.25,0.625,0.0,68.0,43.0,28.1875,12.9375,117.625,88.4375,41.6875,25.25,5.875,4.25,12.9375,4.8125,55.4375,31.8125,17.5,5.1875,9.0,8.3125,5.6875,3.5,3.5625,2.875,5.0,4.25,41.875,21.625,21.875,8.25,19.5,15.6875,5.25,4.1875,6.625,5.6875,1.0625,0.5,301.5625,303.5,850.0,13,0,0,1,3,3,2,0,0,0,2,0,1,0,Southpaw,177.8,190.5,135.0,28.0,1.07,12.7,679 days,5,60.0
Bruno Silva,Mark Smith,2021-03-20,"Las Vegas, Nevada, USA",Red,False,Flyweight,0.0,0.25,0.42,0.4175,0.3625,0.225,0.0,0.25,0.0,0.5,93.75,39.75,116.25,49.25,117.0,57.25,148.0,76.0,9.5,3.25,6.0,2.5,66.0,18.5,93.75,35.0,13.0,10.0,14.5,8.5,14.75,11.25,8.0,5.75,80.25,31.25,101.75,40.0,7.75,5.75,9.25,5.5,5.75,2.75,5.25,3.75,198.0,141.5,870.0,9,0,0,3,0,0,3,0,0,0,0,0,0,0,,182.88,,185.0,31.0,0.0,-182.88,0 days,3,0.0
