R_fighter,B_fighter,title_bout,date,weight_class,Winner
Adrian Yanez,Gustavo Lopez,False,2021-03-20,Bantamweight,Red
Trevin Giles,Roman Dolidze,False,2021-03-20,Middleweight,Red
Tai Tuivasa,Harry Hunsucker,False,2021-03-20,Heavyweight,Red
Cheyanne Buys,Montserrat Conejo,False,2021-03-20,WomenStrawweight,Blue
Marion Reneau,Macy Chiasson,False,2021-03-20,WomenBantamweight,Blue
Leonardo Santos,Grant Dawson,False,2021-03-20,Lightweight,Blue
Song Kenan,Max Griffin,False,2021-03-20,Welterweight,Blue
Derek Brunson,Kevin Holland,False,2021-03-20,Middleweight,Red
Montel Jackson,Jesse Strader,False,2021-03-20,Bantamweight,Red
Bruno Silva,JP Buys,False,2021-03-20,Flyweight,Red
Manel Kape,Matheus Nicolau,False,2021-03-13,Flyweight,Blue
Misha Cirkunov,Ryan Spann,False,2021-03-13,LightHeavyweight,Blue
Leon Edwards,Belal Muhammad,False,2021-03-13,Welterweight,Draw
Charles Jourdain,Marcelo Rojo,False,2021-03-13,Featherweight,Red
Eryk Anders,Darren Stewart,False,2021-03-13,Middleweight,Draw
Angela Hill,Ashley Yoder,False,2021-03-13,WomenStrawweight,Red
Jonathan Martinez,Davey Grant,False,2021-03-13,Bantamweight,Blue
Dan Ige,Gavin Tucker,False,2021-03-13,Featherweight,Red
Nasrat Haqparast,Rafa Garcia,False,2021-03-13,Lightweight,Red
Cortney Casey,JJ Aldrich,False,2021-03-13,WomenFlyweight,Blue
Matthew Semelsberger,Jason Witt,False,2021-03-13,Welterweight,Red
Rani Yahya,Ray Rodriguez,False,2021-03-13,Bantamweight,Red
Gloria de Paula,Jinh Yu Frey,False,2021-03-13,WomenStrawweight,Blue
Dominick Cruz,Casey Kenney,False,2021-03-06,Bantamweight,Red
Song Yadong,Kyler Phillips,False,2021-03-06,Bantamweight,Blue
Petr Yan,Aljamain Sterling,True,2021-03-06,Bantamweight,Blue
Jan Blachowicz,Israel Adesanya,True,2021-03-06,LightHeavyweight,Red
Thiago Santos,Aleksandar Rakic,False,2021-03-06,LightHeavyweight,Blue
Joseph Benavidez,Askar Askarov,False,2021-03-06,Flyweight,Blue
Amanda Nunes,Megan Anderson,True,2021-03-06,WomenFeatherweight,Red
Islam Makhachev,Drew Dober,False,2021-03-06,Lightweight,Red
Tim Elliott,Jordan Espinosa,False,2021-03-06,Flyweight,Red
Livinha Souza,Amanda Lemos,False,2021-03-06,WomenStrawweight,Blue
Rogerio Bontorin,Kai Kara-France,False,2021-03-06,Flyweight,Blue
Uros Medic,Aalon Cruz,False,2021-03-06,Lightweight,Red
Kennedy Nzechukwu,Carlos Ulberg,False,2021-03-06,LightHeavyweight,Red
Sean Brady,Jake Matthews,False,2021-03-06,Welterweight,Red
Mario Bautista,Trevin Jones,False,2021-03-06,Bantamweight,Blue
Jairzinho Rozenstruik,Ciryl Gane,False,2021-02-27,Heavyweight,Blue
Montana De La Rosa,Mayra Bueno Silva,False,2021-02-27,WomenFlyweight,Draw
Vince Cachero,Ronnie Lawrence,False,2021-02-27,Bantamweight,Blue
