nickname,count
,347
The Spartan,7
The Great,4
Pitbull,4
Danger,4
The Sniper,4
The Predator,3
El Toro,3
Bullet,3
Wolverine,3
The Beast,3
The Menace,2
Cowboy,2
The Kid,2
Pretty Boy,2
Cyborg,2
Junior,2
Magic,2
Dragon,2
The Tarantula,2
Golden Boy,2
Hot Sauce,2
Fury,2
Bam Bam,2
The Savage,2
Kid Dynamite,2
The Body Snatcher,2
The Barbarian,2
Lights Out,2
Rocky,2
Showtime,2
El Guapo,2
The Future,2
Razor,2
Super,2
The Warrior,2
La Pantera,2
The Demolition Man,2
The Monster,2
The Machine,2
Superman,2
Hurricane,2
The Prodigy,2
The Lone Wolf,2
The Hurricane,2
Triple Threat,2
The Bully,2
Mr. Highlight,2
Flash,2
El Nino,2
All In,2
Lucky,2
Grizzly,2
Soldier of God,2
Thunder,2
The Leech,2
The Phenom,2
The Warrior Princess,2
King,2
The Immortal,2
Crash,2
The Dragon,2
The Prototype,2
Quicksand,2
Fenomeno,2
Tarzan,2
The Vanilla Gorilla,2
The Juggernaut,2
The Truth,2
Skeletor,2
Money,2
Gifted,2
Iron,2
Black Eagle,1
Gunz Up,1
Handz of Steel,1
Remember the Name,1
Tango,1
Atomic,1
Mamute,1
JoJo,1
Queen of Violence,1
Baby K,1
12 Gauge,1
The Gift,1
Prince of War,1
The Messenger,1
Chaborz,1
Cabocao,1
Baby,1
Bigi Boy,1
Pain,1
Maravilha,1
Maluko,1
Fluffy,1
The Brazilian Gangsta,1
A Treta,1
El Blanco,1
do Bronx,1
Moicano,1
Beast Master,1
The Rockstar,1
Mr. Perfect,1
Yashabo,1
Don't Blink,1
Smokin',1
Maestro,1
King Kage,1
Smile'N,1
187,1
Groovy,1
Dhalsim,1
The Spider,1
The Last Stylebender,1
Stitch,1
Spitfire,1
The Baron,1
Cool Hand,1
The Carny,1
Rebel Girl,1
KGB,1
The Bermudez Triangle,1
El Terror,1
Funk Master,1
Touchy,1
The Silent Assassin,1
Bruce Leeroy,1
Cast Iron,1
The Texecutioner,1
The Irish Dragon,1
El Fenomeno,1
Tiger,1
Tractor,1
The Austrian Wonderboy,1
The Bosnian Bomber,1
Semento,1
White Bear,1
The Magician,1
No Mercy,1
Girl-Rilla,1
Lord,1
Skyscraper,1
Pezao,1
Marreta,1
Shockwave,1
Dama de Ferro,1
The Golden Boy,1
Nightmare,1
Turbo,1
Lil' Heathen,1
The Young Punisher,1
No Love,1
The Tiny Tornado,1
Magnum,1
Ruthless,1
Funky,1
The Chosen One,1
Nigerian Nightmare,1
Bones,1
Lionheart,1
The Hitman,1
The Great White,1
Da Last Samurai,1
The Crochet Boss,1
KGD,1
Juicy J,1
The Belizean Bruiser,1
Foxy,1
The Panther,1
Baga,1
The Dirty Bird,1
The Hybrid,1
Capoeira,1
Curtious,1
Cigano,1
The Black Beast,1
Smiler,1
Meatball,1
Zombie Girl,1
50K,1
The Hatchet,1
Nick,1
Irish,1
Bonecrusher,1
All Day,1
Almighty,1
The Welsh Wrecking Machine,1
The Hammer,1
Hot Chocolate,1
Hannibal,1
Teco,1
The Prospect,1
No Time,1
The Devastator,1
Gunni,1
Gamebred,1
The Gorilla,1
The Gamer,1
Main Event,1
Quiet Storm,1
Overkill,1
Chito,1
The Wolfman,1
Thug Nasty,1
Ocho,1
Violent Bob Ross,1
Deus da Guerra,1
The Bull,1
El Mudo,1
Big Pretty,1
Wonderboy,1
The Bumblebee,1
Iron Lady,1
Colombian Queen,1
The Tazmexican Devil,1
GM3,1
Trailblazer,1
Angel of Death,1
El Fuerte,1
The Real Deal,1
Jag,1
BearJew,1
African Savage,1
The Karate Hottie,1
The Joker,1
The Highlight,1
