R_fighter,B_fighter,R_wins,R_draw,R_losses,B_wins,B_draw,B_losses
Adrian Yanez,Gustavo Lopez,1,0,0,1,0,1
Trevin Giles,Roman Dolidze,4,0,2,2,0,0
Tai Tuivasa,Harry Hunsucker,4,0,3,0,0,0
Cheyanne Buys,Montserrat Conejo,0,0,0,0,0,0
Marion Reneau,Macy Chiasson,5,0,6,4,0,1
Leonardo Santos,Grant Dawson,7,0,1,4,0,0
Song Kenan,Max Griffin,4,0,1,4,0,6
Derek Brunson,Kevin Holland,12,0,5,8,0,2
Montel Jackson,Jesse Strader,3,0,2,0,0,0
Bruno Silva,JP Buys,0,0,3,0,0,0
Manel Kape,Matheus Nicolau,0,0,1,3,0,1
Misha Cirkunov,Ryan Spann,6,0,3,4,0,1
Leon Edwards,Belal Muhammad,10,0,2,9,0,3
Charles Jourdain,Marcelo Rojo,1,0,3,0,0,0
Eryk Anders,Darren Stewart,5,0,5,5,0,6
Angela Hill,Ashley Yoder,7,0,9,3,0,5
Jonathan Martinez,Davey Grant,4,0,2,3,0,3
Dan Ige,Gavin Tucker,6,0,2,4,0,1
Nasrat Haqparast,Rafa Garcia,4,0,2,0,0,0
Cortney Casey,JJ Aldrich,5,0,7,4,0,3
Matthew Semelsberger,Jason Witt,1,0,0,1,0,1
Rani Yahya,Ray Rodriguez,11,0,6,0,0,1
Gloria de Paula,Jinh Yu Frey,0,0,0,0,0,2
Dominick Cruz,Casey Kenney,5,0,2,5,0,1
Song Yadong,Kyler Phillips,5,0,1,2,0,0
Petr Yan,Aljamain Sterling,7,0,0,11,0,3
Jan Blachowicz,Israel Adesanya,10,0,5,9,0,0
Thiago Santos,Aleksandar Rakic,13,0,7,5,0,1
Joseph Benavidez,Askar Askarov,15,0,5,2,0,1
Amanda Nunes,Megan Anderson,13,0,1,3,0,2
Islam Makhachev,Drew Dober,7,0,1,9,0,6
Tim Elliott,Jordan Espinosa,5,0,9,2,0,3
Livinha Souza,Amanda Lemos,3,0,1,2,0,1
Rogerio Bontorin,Kai Kara-France,2,0,1,4,0,2
